archivo,f_eff_sobre_f_n,tipo_corte,s_libre
055cbce7-fe6b-4335-9576-010a0f04cca7.jpeg,0.7666666666666667,suave,1.3043478260869565
1102014623_univ_cnt_2_lg.jpg,0.76875,suave,1.3008130081300813
20200927_163905.jpg,0.7482837528604119,suave,1.3363914373088683
20201018_171545.jpg,0.6785714285714286,suave,1.4736842105263157
20201115_133405.jpg,0.7461538461538462,suave,1.3402061855670102
20201215_195614.jpg,0.796875,suave,1.2549019607843137
20220927_141106.jpg,0.7361111111111112,suave,1.3584905660377358
20220927_203042.jpg,0.78505291005291,suave,1.27379949452401
20220927_203047.jpg,0.7764550264550265,suave,1.2879045996592844
20221011_211601.jpg,0.71875,suave,1.391304347826087
20221030_085024.jpg,0.7870370370370371,suave,1.2705882352941176
20221106_134631.jpg,0.6717612809315866,suave,1.4886240520043337
20221106_134635.jpg,0.7589928057553957,suave,1.3175355450236965
20221106_134641.jpg,0.7487787857641311,suave,1.3355079217148182
20221106_134647.jpg,0.6342592592592593,suave,1.5766423357664232
20221106_134654.jpg,0.753968253968254,suave,1.3263157894736843
20221106_134704.jpg,0.7334656084656085,suave,1.363390441839495
20221106_134710.jpg,0.7374338624338624,suave,1.356053811659193
20240204_172504.jpg,0.7834586466165413,suave,1.2763915547024953
20240204_173328.jpg,0.7724489795918368,suave,1.2945838837516512
20543683_1362612170522019_4515307841261389532_o.jpg,0.7259786476868327,suave,1.3774509803921569
21106422_1383887351727834_2710582729887162437_n.png,0.7512437810945274,suave,1.3311258278145695
37865054_250763852230336_1863221563931754496_n.jpg,0.696875,suave,1.4349775784753362
61f71471-8f08-4589-b498-1b9cb61594ea.jpeg,0.7942386831275721,suave,1.2590673575129534
8dddd3b9-73dc-46c4-9dd0-2ef5e97dab27.jpeg,0.7636986301369864,suave,1.3094170403587444
9f9cc422-8423-4087-8a28-c08f665b20b5.jpeg,0.7905027932960894,suave,1.2650176678445229
DSC_0133.JPG,0.671875,suave,1.4883720930232558
Familia-Nazareth.jpg,0.7285714285714285,suave,1.3725490196078431
IMG_20131012_182040.jpg,0.75,suave,1.3333333333333333
IMG_20140927_183758.jpg,0.5433006535947712,suave,1.8406015037593986
Miguel-Hernandez.jpg,0.7448680351906158,suave,1.3425196850393701
WhatsApp Image 2022-11-06 at 1.49.32 PM (1).jpeg,0.703125,suave,1.4222222222222223
WhatsApp Image 2022-11-06 at 1.49.32 PM.jpeg,0.75,suave,1.3333333333333333
WhatsApp Image 2022-11-06 at 1.49.33 PM (1).jpeg,0.7316666666666667,suave,1.366742596810934
WhatsApp Image 2022-11-06 at 1.49.33 PM (2).jpeg,0.7383333333333333,suave,1.3544018058690745
WhatsApp Image 2022-11-06 at 1.49.33 PM (3).jpeg,0.7316666666666667,suave,1.366742596810934
WhatsApp Image 2022-11-06 at 1.49.33 PM (4).jpeg,0.69921875,suave,1.4301675977653632
WhatsApp Image 2022-11-06 at 1.49.33 PM (5).jpeg,0.7383333333333333,suave,1.3544018058690745
WhatsApp Image 2022-11-06 at 1.49.33 PM.jpeg,0.69921875,suave,1.4301675977653632
cepasi-01.jpg,0.7224242424242424,suave,1.3842281879194631
derick-01.jpg,0.7025862068965517,suave,1.4233128834355828
derick-02.jpg,0.734375,suave,1.3617021276595744
derick-03.jpg,0.62890625,suave,1.5900621118012421
derick-04.jpg,0.609375,suave,1.641025641025641
derick-05.jpg,0.69921875,suave,1.4301675977653632
download (1).png,0.80078125,suave,1.248780487804878
download (2).png,0.78125,suave,1.28
download (3).png,0.79296875,suave,1.2610837438423645
download.png,0.75390625,suave,1.3264248704663213
