archivo,psnr_rl,psnr_bicubica,ventaja_db,ssim_rl,ssim_bicubica,f_max_teorico,f_recuperada,fraccion_de_f_max,iteraciones_rl
IMG_20250612_173002.jpg,30.23042216843003,29.807094750511695,0.42332741791833683,0.6944353660660652,0.6564676598485074,0.46875,0.68359375,1.4583333333333333,2
IMG_20260425_184934.jpg,30.20319252631408,27.644758052163372,2.558434474150708,0.8505834304741671,0.7500101761922046,0.5,0.54296875,1.0859375,4
IMG_20260425_184935.jpg,30.551407292914327,27.090397597488764,3.461009695425563,0.8822508859844869,0.8569184879123779,0.4921875,0.52734375,1.0714285714285714,4
IMG_20260425_185359.jpg,30.127760469336792,26.844292709992196,3.283467759344596,0.8917896349363736,0.809008534089896,0.5078125,1.0,1.9692307692307693,4
IMG_20260425_190354.jpg,27.247441897342817,21.01756711658622,6.229874780756596,0.9447239396984864,0.8342903528892173,0.51953125,0.46484375,0.8947368421052632,9
IMG_20260425_190359.jpg,28.972463963041484,22.894175439157497,6.078288523883987,0.9305528959596329,0.8318748824379297,0.4765625,0.4375,0.9180327868852459,7
IMG_20260425_190407.jpg,26.208401717412507,22.550567875442127,3.6578338419703798,0.8920451906801664,0.8031339096660194,0.52734375,0.47265625,0.8962962962962963,8
IMG_20260425_190408.jpg,26.446863233024086,20.98473201536732,5.462131217656765,0.9223218339522918,0.8334391977536005,0.5078125,0.453125,0.8923076923076924,10
IMG_20260425_193144.jpg,33.94976251490725,31.59459881382027,2.3551637010869797,0.8814152283366958,0.8757475068934408,0.44140625,0.47265625,1.0707964601769913,3
IMG_20260425_193157.jpg,33.70288746298361,32.525433403548824,1.1774540594347869,0.8713448302392988,0.8723639287304266,0.44921875,0.51953125,1.1565217391304348,2
