archivo,fila,columna,tau,error_rms,error_relativo
IMG_20250612_173002.jpg,0,0,0.6547845764478112,0.012989285263451864,0.7110737305864847
IMG_20250612_173002.jpg,0,1,0.32752896447744906,0.013357299630111952,0.4568000774979139
IMG_20250612_173002.jpg,0,2,0.2045181365540186,0.013473426918658486,0.3053422760629923
IMG_20250612_173002.jpg,0,3,0.1653416036929766,0.013655247635417856,0.25756455140639783
IMG_20250612_173002.jpg,0,4,0.12220384973503484,0.01591606629564235,0.21999857728788147
IMG_20250612_173002.jpg,0,5,0.11565020426894908,0.019128843619766585,0.24370498475350594
IMG_20250612_173002.jpg,0,6,0.09164022818617062,0.01865247159616699,0.19702142225534444
IMG_20250612_173002.jpg,0,7,0.11297603424473317,0.01806517021336497,0.22502696650727072
IMG_20250612_173002.jpg,1,0,0.6931621891670177,0.012885068920077028,0.7339329991747747
IMG_20250612_173002.jpg,1,1,0.5070468973688742,0.013126134950014951,0.6155477114708824
IMG_20250612_173002.jpg,1,2,0.250442356091137,0.013006371836603423,0.3607348608848463
IMG_20250612_173002.jpg,1,3,0.130450928667443,0.013023049126318796,0.19243392017528377
IMG_20250612_173002.jpg,1,4,0.10811531253535389,0.015828196212637632,0.19554041586149332
IMG_20250612_173002.jpg,1,5,0.13222523677623332,0.015677519444078126,0.23415598149546535
IMG_20250612_173002.jpg,1,6,0.12827191962351225,0.01594920452667026,0.2308370382128298
IMG_20250612_173002.jpg,1,7,0.1489017737764734,0.013600255236451397,0.22492785799824688
IMG_20250612_173002.jpg,2,0,0.38917746818896054,0.013083800021365458,0.5134796496307932
IMG_20250612_173002.jpg,2,1,0.21209114819756925,0.01364591554703087,0.32234902310450464
IMG_20250612_173002.jpg,2,2,0.15614899385541708,0.013864001523953723,0.24597144649155478
IMG_20250612_173002.jpg,2,3,0.265073206479776,0.013618195117382163,0.3877439688919996
IMG_20250612_173002.jpg,2,4,0.16476613810585908,0.014256666597880534,0.26370156729613736
IMG_20250612_173002.jpg,2,5,0.17318203017726386,0.013269257523105997,0.2592890041073112
IMG_20250612_173002.jpg,2,6,0.13923053954127343,0.014086148826959653,0.22128266562118562
IMG_20250612_173002.jpg,2,7,0.10874775525205761,0.014535093298950003,0.17908484311040765
IMG_20250612_173002.jpg,3,0,0.2243612444904707,0.013574963194699358,0.33393527360370406
IMG_20250612_173002.jpg,3,1,0.2694424290804354,0.013649757303026842,0.3993452345739766
IMG_20250612_173002.jpg,3,2,0.1578593490581331,0.013340107820151091,0.23690389382962304
IMG_20250612_173002.jpg,3,3,0.16389591714294277,0.01381931306354494,0.2540572864501773
IMG_20250612_173002.jpg,3,4,0.24294462744880582,0.012692547899651104,0.3405288429832983
IMG_20250612_173002.jpg,3,5,0.20499797075210596,0.013182746952592373,0.30086087028193936
IMG_20250612_173002.jpg,3,6,0.11199633241069092,0.01619082210234567,0.2038625270182333
IMG_20250612_173002.jpg,3,7,0.13967477521032945,0.014346791035852343,0.2251637846623738
IMG_20250612_173002.jpg,4,0,0.19269122432601724,0.013378996259795427,0.2905902071426292
IMG_20250612_173002.jpg,4,1,0.27033238696942524,0.014257897904323365,0.4094300138436246
IMG_20250612_173002.jpg,4,2,0.05249320261324182,0.022190923286407455,0.13474016511026476
IMG_20250612_173002.jpg,4,3,0.10588108418301671,0.016858835417228855,0.19933604157912263
IMG_20250612_173002.jpg,4,4,0.10000752679854878,0.015192747684233902,0.17522650265957052
IMG_20250612_173002.jpg,4,5,0.10975544645470602,0.013475974382496836,0.1694519531994617
IMG_20250612_173002.jpg,4,6,0.17223781896092666,0.013271612437929955,0.2547843056414713
IMG_20250612_173002.jpg,4,7,0.08509110628389009,0.01709885940291939,0.16544807835271982
IMG_20250612_173002.jpg,5,0,0.09004549424696477,0.01817189014292595,0.18451448081832775
IMG_20250612_173002.jpg,5,1,0.054820862098846075,0.025795214806788203,0.16333920581057088
IMG_20250612_173002.jpg,5,2,0.0859034321318773,0.02009067722115914,0.19636976266599612
IMG_20250612_173002.jpg,5,3,0.06219665183490405,0.025461728959122906,0.1805012837209648
IMG_20250612_173002.jpg,5,4,0.048369890475413804,0.025648894197409334,0.14325880629272705
IMG_20250612_173002.jpg,5,5,0.0569147683353616,0.027551992245690504,0.17865482355100304
IMG_20250612_173002.jpg,5,6,0.09016719836372535,0.02464012423329716,0.2439119660785533
